slug,name,wikidata_qid,owner_name,parent_owner,owner_type,country,source_used,notes
nyt,The New York Times,Q9684,The New York Times Company,,public_company,United States,wikidata:P127,Public company (NYSE: NYT)
fox-news,Fox News,Q186068,Fox Corporation,Fox Broadcasting Company,public_company,United States,wikidata:P127,"Wikidata returned multiple historical owners (News Corp, 21st Century Fox); Fox Corp is current since 2019 Disney spinoff. Query needs P580 (start time) filter to disambiguate."
reuters,Reuters,Q130879,Thomson Reuters,Thomson Reuters,public_company,United Kingdom,wikidata:P127,Public company (NYSE/TSX: TRI)
ap,Associated Press,Q40469,,,cooperative,United States,wikidata:P31,"P127 empty by design — AP is a member-owned not-for-profit cooperative. Ownership type inferred from P31='nonprofit organization'. Needs a cooperative type-tag."
guardian,The Guardian,Q11148,Guardian Media Group,Guardian Media Group,trust,United Kingdom,wikidata:P127,"Owned by Scott Trust Limited via Guardian Media Group. Wikidata flattens to GMG. Need manual enrichment for trust parent."
bbc,BBC,Q9531,,Department for Culture Media and Sport,public_broadcaster,United Kingdom,wikidata:P749,P127 empty; P749 returns UK government department. Ownership type = public broadcaster (royal charter).
cnn,CNN,Q48340,Warner Bros. Discovery,Warner Bros. Discovery,public_company,United States,wikidata:P127,Public company (NASDAQ: WBD)
wsj,The Wall Street Journal,Q164746,Dow Jones & Company,,subsidiary,,wikidata:P127,"WSJ country field missing in Wikidata (P17 empty). Known: US. Parent of Dow Jones is News Corp — need a 2-hop query. Manual enrichment trivial."
bloomberg,Bloomberg News,Q14270642,Bloomberg L.P.,Bloomberg L.P.,private_company,United States,wikidata:P127,Private company owned by Michael Bloomberg (88%).
politico,Politico,Q3109740,Axel Springer SE,Axel Springer SE,public_company,United States,wikidata:P127,Owned by Axel Springer (German public co) since 2021.
wapo,The Washington Post,Q166032,Jeff Bezos,,individual,United States,wikidata:P127,"Owner is an individual, not a company (Nash Holdings). Needs owner_type='individual' + optional holding-company denormalization."
daily-mail,Daily Mail,Q210534,Daily Mail and General Trust,,public_company,United Kingdom,wikidata:P127,"Wikidata also lists Viscount Rothermere as co-owner (ultimate controlling shareholder). Need policy: company vs. ultimate beneficial owner."
npr,NPR,Q671510,,,public_broadcaster,United States,wikidata:P31,"Member-supported nonprofit; no P127. Type inferred. Ownership model similar to AP (cooperative/public)."
al-jazeera,Al Jazeera,Q13477,Al Jazeera Media Network,Al Jazeera Media Network,state_adjacent,Qatar,wikidata:P127,State-funded by Qatari royal family. Type needs manual enrichment ('state_adjacent' vs 'private').
the-atlantic,The Atlantic,Q1542536,Emerson Collective,Emerson Collective,private_company,United States,wikidata:P127,Owned by Laurene Powell Jobs' Emerson Collective since 2017.
huffpost,HuffPost,Q18049522,BuzzFeed,BuzzFeed,public_company,United States,wikidata:P127,BuzzFeed acquired HuffPost from Verizon in 2020. Public co (NASDAQ: BZFD).
axios,Axios,Q28230873,Cox Enterprises,,private_company,United States,wikidata:P127,Acquired by Cox Enterprises (private US conglomerate) in 2022.
breitbart,Breitbart News,Q4960434,,,private_company,United States,wikidata:P127,"Wikidata P127 returns 'Andrew Breitbart' (founder, deceased 2012). Currently owned by Breitbart News Network LLC. Wikidata data is STALE. Manual correction needed."
vox-media,Vox Media,Q7942354,,,private_company,United States,,"P127 empty in Wikidata. Actual owner: Penske Media Corporation (majority stake since 2024 merger). Data gap — requires manual enrichment."
national-review,National Review,Q1699649,,,nonprofit,United States,,"P127 empty in Wikidata. Actually owned by National Review Institute (501(c)(3)). Data gap — requires manual enrichment."
